R-HSA-168276; NS1 Mediated Effects on Host Pathways
R-HSA-164843;2-LTR circle formation
R-HSA-73843;5-Phosphoribose 1-diphosphate biosynthesis
R-HSA-1971475;A tetrasaccharide linker sequence is required for GAG synthesis
R-HSA-5619084;ABC transporter disorders
R-HSA-1369062;ABC transporters in lipid homeostasis
R-HSA-382556;ABC-family proteins mediated transport
R-HSA-418592;ADP signalling through P2Y purinoceptor 1
R-HSA-392170;ADP signalling through P2Y purinoceptor 12
R-HSA-198323;AKT phosphorylates targets in the cytosol
R-HSA-198693;AKT phosphorylates targets in the nucleus
R-HSA-211163;AKT-mediated inactivation of FOXO1A
R-HSA-112122;ALKBH2 mediated reversal of alkylation damage
R-HSA-112126;ALKBH3 mediated reversal of alkylation damage
R-HSA-4839748;AMER1 mutants destabilize the destruction complex
R-HSA-163680;AMPK inhibits chREBP transcriptional activation activity
R-HSA-5467333;APC truncation mutants are not K63 polyubiquitinated
R-HSA-5467337;APC truncation mutants have impaired AXIN binding
R-HSA-179409;APC-Cdc20 mediated degradation of Nek2A
R-HSA-174143;APC/C-mediated degradation of cell cycle proteins
R-HSA-174048;APC/C:Cdc20 mediated degradation of Cyclin B
R-HSA-174154;APC/C:Cdc20 mediated degradation of Securin
R-HSA-176409;APC/C:Cdc20 mediated degradation of mitotic proteins
R-HSA-174178;APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
R-HSA-179419;APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
R-HSA-5649702;APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
R-HSA-180689;APOBEC3G mediated resistance to HIV-1 infection
R-HSA-5624958;ARL13B-mediated ciliary trafficking of INPP5E
R-HSA-170984;ARMS-mediated activation
R-HSA-380994;ATF4 activates genes
R-HSA-381183;ATF6 (ATF6-alpha) activates chaperone genes
R-HSA-381033;ATF6 (ATF6-alpha) activates chaperones
R-HSA-1296025;ATP sensitive Potassium channels
R-HSA-450408;AUF1 (hnRNP D0) binds and destabilizes mRNA
R-HSA-8854518;AURKA Activation by TPX2
R-HSA-5467340;AXIN missense mutants destabilize the destruction complex
R-HSA-4839735;AXIN mutants destabilize the destruction complex, activating WNT signaling
R-HSA-2161541;Abacavir metabolism
R-HSA-2161517;Abacavir transmembrane transport
R-HSA-2161522;Abacavir transport and metabolism
R-HSA-73930;Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
R-HSA-2978092;Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate
R-HSA-167242;Abortive elongation of HIV-1 transcript in the absence of Tat
R-HSA-156582;Acetylation
R-HSA-264642;Acetylcholine Neurotransmitter Release Cycle
R-HSA-181431;Acetylcholine binding and downstream events
R-HSA-399997;Acetylcholine regulates insulin secretion
R-HSA-1300645;Acrosome Reaction
R-HSA-2122948;Activated NOTCH1 Transmits Signal to the Nucleus
R-HSA-5625886;Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
R-HSA-166054;Activated TLR4 signalling
R-HSA-2033519;Activated point mutants of FGFR2
R-HSA-111452;Activation and oligomerization of BAK protein
R-HSA-165158;Activation of AKT2
R-HSA-399710;Activation of AMPA receptors
R-HSA-176814;Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
R-HSA-176187;Activation of ATR in response to replication stress
R-HSA-111447;Activation of BAD and translocation to mitochondria 
R-HSA-114452;Activation of BH3-only proteins
R-HSA-111446;Activation of BIM and translocation to mitochondria 
R-HSA-139910;Activation of BMF and translocation to mitochondria
R-HSA-174577;Activation of C3 and C5
R-HSA-451308;Activation of Ca-permeable Kainate Receptor
