#Archive/File	Name	Time	Size	Type
Archive	GSE10026_RAW.tar	01/17/2013 13:58:16	388925440	TAR
File	GSM252165.CEL.gz	12/19/2007 15:14:01	4698467	CEL
File	GSM252166.CEL.gz	12/19/2007 15:14:04	4369656	CEL
File	GSM252167.CEL.gz	12/19/2007 15:14:07	4470333	CEL
File	GSM252168.CEL.gz	12/19/2007 15:14:10	4722609	CEL
File	GSM252169.CEL.gz	12/19/2007 15:14:14	4594294	CEL
File	GSM252170.CEL.gz	12/19/2007 15:14:17	4679876	CEL
File	GSM252171.CEL.gz	12/19/2007 15:14:20	4685562	CEL
File	GSM252172.CEL.gz	12/19/2007 15:14:23	4589276	CEL
File	GSM252173.CEL.gz	12/19/2007 15:14:27	4638301	CEL
File	GSM252180.CEL.gz	12/19/2007 15:12:11	3342169	CEL
File	GSM252181.CEL.gz	12/19/2007 15:12:13	3266843	CEL
File	GSM252182.CEL.gz	12/19/2007 15:12:16	3326469	CEL
File	GSM252183.CEL.gz	12/19/2007 15:12:18	3315645	CEL
File	GSM252184.CEL.gz	12/19/2007 15:12:20	3359888	CEL
File	GSM252185.CEL.gz	12/19/2007 15:12:23	3324988	CEL
File	GSM252186.CEL.gz	12/19/2007 15:12:25	3323844	CEL
File	GSM252187.CEL.gz	12/19/2007 15:12:28	3284627	CEL
File	GSM252188.CEL.gz	12/19/2007 15:12:30	3357078	CEL
File	GSM252189.CEL.gz	12/19/2007 15:12:32	2948925	CEL
File	GSM252190.CEL.gz	12/19/2007 15:12:35	3025065	CEL
File	GSM252191.CEL.gz	12/19/2007 15:12:37	3042514	CEL
File	GSM252192.CEL.gz	12/19/2007 15:12:39	3119602	CEL
File	GSM252193.CEL.gz	12/19/2007 15:12:41	2975572	CEL
File	GSM252194.CEL.gz	12/19/2007 15:12:44	3068121	CEL
File	GSM252195.CEL.gz	12/19/2007 15:12:46	3166006	CEL
File	GSM252196.CEL.gz	12/19/2007 15:12:48	3022074	CEL
File	GSM252197.CEL.gz	12/19/2007 15:12:51	3151971	CEL
File	GSM252198.CEL.gz	12/19/2007 15:12:53	3072895	CEL
File	GSM252199.CEL.gz	12/19/2007 15:12:55	3291013	CEL
File	GSM252200.CEL.gz	12/19/2007 15:12:58	3445640	CEL
File	GSM252201.CEL.gz	12/19/2007 15:13:00	2936109	CEL
File	GSM252202.CEL.gz	12/19/2007 15:13:02	3185707	CEL
File	GSM252203.CEL.gz	12/19/2007 15:13:04	3483745	CEL
File	GSM252204.CEL.gz	12/19/2007 15:13:07	2952450	CEL
File	GSM252205.CEL.gz	12/19/2007 15:13:09	3237667	CEL
File	GSM252206.CEL.gz	12/19/2007 15:13:11	3474321	CEL
File	GSM252207.CEL.gz	12/19/2007 15:13:14	3463022	CEL
File	GSM252208.CEL.gz	12/19/2007 15:13:16	3551229	CEL
File	GSM252209.CEL.gz	12/19/2007 15:13:18	3496757	CEL
File	GSM252210.CEL.gz	12/19/2007 15:13:21	3505964	CEL
File	GSM252211.CEL.gz	12/19/2007 15:13:23	3632969	CEL
File	GSM252212.CEL.gz	12/19/2007 15:13:26	3483355	CEL
File	GSM252213.CEL.gz	12/19/2007 15:13:28	3462033	CEL
File	GSM252214.CEL.gz	12/19/2007 15:13:30	3542250	CEL
File	GSM252215.CEL.gz	12/19/2007 15:13:33	3473495	CEL
File	GSM252218.CEL.gz	12/19/2007 15:10:13	3154572	CEL
File	GSM252219.CEL.gz	12/19/2007 15:10:16	3064400	CEL
File	GSM252220.CEL.gz	12/19/2007 15:10:18	3146898	CEL
File	GSM252221.CEL.gz	12/19/2007 15:10:20	3204601	CEL
File	GSM252222.CEL.gz	12/19/2007 15:10:23	3042725	CEL
File	GSM252223.CEL.gz	12/19/2007 15:10:25	3116374	CEL
File	GSM252224.CEL.gz	12/19/2007 15:10:27	3029050	CEL
File	GSM252225.CEL.gz	12/19/2007 15:10:30	3197632	CEL
File	GSM252226.CEL.gz	12/19/2007 15:10:32	3027938	CEL
File	GSM252227.CEL.gz	12/19/2007 15:10:34	3135954	CEL
File	GSM252228.CEL.gz	12/19/2007 15:10:37	3187131	CEL
File	GSM252229.CEL.gz	12/19/2007 15:10:39	3235460	CEL
File	GSM252230.CEL.gz	12/19/2007 15:10:41	3084043	CEL
File	GSM252231.CEL.gz	12/19/2007 15:10:44	3129375	CEL
File	GSM252232.CEL.gz	12/19/2007 15:10:46	3250441	CEL
